"findingNumber","registryId","ghsa","package","currentVersion","severity","patchedVersions","dependencyScope","dependencyType","declaration","reachability","surface","actualRisk","patchCompatibility","remediationPlan","breakingChangeRisk","path","url"
"1","1102341","GHSA-67mh-4wv8-2f99","esbuild","0.21.5","moderate",">=0.25.0","production","transitive","","build-or-development-only","Admin/storefront compilation","low","no-compatible-patch-in-parent-range","esbuild 0.25 is outside Vite 5's ^0.21.3 range.","high","apps__backend>@medusajs/framework>vite>esbuild","https://github.com/advisories/GHSA-67mh-4wv8-2f99"
"2","1113161","GHSA-w7fw-mjwx-w883","qs","6.14.0","low",">=6.14.2","production","direct","dependencies:^6.12.1","not-reachable-in-current-source","Unused direct storefront dependency","low","compatible-patch-applied","Upgrade direct storefront QS to 6.15.2 within its caret range.","low","apps__storefront>qs","https://github.com/advisories/GHSA-w7fw-mjwx-w883"
"3","1113515","GHSA-mw96-cpmx-2vgc","rollup","4.53.3","high",">=4.59.0","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","compatible-patch-applied","Upgrade Rollup 4 to 4.62.4 within Vite's ^4.20.0 range.","low","apps__backend>@medusajs/framework>vite>rollup","https://github.com/advisories/GHSA-mw96-cpmx-2vgc"
"4","1113715","GHSA-2g4f-4pwh-qvx6","ajv","8.13.0","moderate",">=8.18.0","production","transitive","","migration-or-operational-cli-only","Database migration and CLI command validation","low","no-compatible-patch-in-parent-range","AJV 8.18.0 is outside the parent's ~8.13.0 range.","high","apps__backend>@medusajs/cli>@medusajs/deps>@mikro-orm/migrations>umzug>@rushstack/ts-command-line>@rushstack/terminal>@rushstack/node-core-library>ajv","https://github.com/advisories/GHSA-2g4f-4pwh-qvx6"
"5","1113719","GHSA-6rw7-vpxm-498p","qs","6.14.0","moderate",">=6.14.1","production","direct","dependencies:^6.12.1","not-reachable-in-current-source","Unused direct storefront dependency","low","compatible-patch-applied","Upgrade direct storefront QS to 6.15.2 within its caret range.","low","apps__storefront>qs","https://github.com/advisories/GHSA-6rw7-vpxm-498p"
"6","1115527","GHSA-37ch-88jc-xwx2","path-to-regexp","0.1.12","high",">=0.1.13","production","transitive","","startup-configuration-only","Express route compilation during Medusa CLI startup","low","compatible-patch-applied","Upgrade to 0.1.13 within Express's ~0.1.12 range.","low","apps__backend>@medusajs/cli>express>path-to-regexp","https://github.com/advisories/GHSA-37ch-88jc-xwx2"
"7","1115540","GHSA-f886-m6hf-6m8v","brace-expansion","1.1.12","moderate",">=1.1.13","production","transitive","","build-or-development-only","CLI, glob, and local package tooling","low","compatible-patch-applied","Upgrade separately within major 1 or major 5.","low","apps__backend>@medusajs/medusa>yalc>glob>minimatch>brace-expansion","https://github.com/advisories/GHSA-f886-m6hf-6m8v"
"8","1115549","GHSA-3v7f-55p6-f55p","picomatch","2.3.1","moderate",">=2.3.2","production","transitive","","startup-build-or-development-only","Dependency discovery, file globbing, and Admin build","low","compatible-patch-applied","Upgrade separately within major 2 or major 4.","low","apps__backend>@medusajs/caching>awilix>fast-glob>micromatch>picomatch","https://github.com/advisories/GHSA-3v7f-55p6-f55p"
"9","1115551","GHSA-3v7f-55p6-f55p","picomatch","4.0.3","moderate",">=4.0.4","production","transitive","","startup-build-or-development-only","Dependency discovery, file globbing, and Admin build","low","compatible-patch-applied","Upgrade separately within major 2 or major 4.","low","apps__backend>@medusajs/medusa>@medusajs/admin-bundler>tailwindcss>sucrase>tinyglobby>picomatch","https://github.com/advisories/GHSA-3v7f-55p6-f55p"
"10","1115552","GHSA-c2c7-rcm5-vvqj","picomatch","2.3.1","high",">=2.3.2","production","transitive","","startup-build-or-development-only","Dependency discovery, file globbing, and Admin build","low","compatible-patch-applied","Upgrade separately within major 2 or major 4.","low","apps__backend>@medusajs/caching>awilix>fast-glob>micromatch>picomatch","https://github.com/advisories/GHSA-c2c7-rcm5-vvqj"
"11","1115554","GHSA-c2c7-rcm5-vvqj","picomatch","4.0.3","high",">=4.0.4","production","transitive","","startup-build-or-development-only","Dependency discovery, file globbing, and Admin build","low","compatible-patch-applied","Upgrade separately within major 2 or major 4.","low","apps__backend>@medusajs/medusa>@medusajs/admin-bundler>tailwindcss>sucrase>tinyglobby>picomatch","https://github.com/advisories/GHSA-c2c7-rcm5-vvqj"
