"findingNumber","registryId","ghsa","package","currentVersion","severity","patchedVersions","dependencyScope","dependencyType","declaration","reachability","surface","actualRisk","patchCompatibility","remediationPlan","breakingChangeRisk","path","url"
"1","1102341","GHSA-67mh-4wv8-2f99","esbuild","0.21.5","moderate",">=0.25.0","production","transitive","","build-or-development-only","Admin/storefront compilation","low","no-compatible-patch-in-parent-range","esbuild 0.25 is outside Vite 5's ^0.21.3 range.","high","apps__backend>@medusajs/framework>vite>esbuild","https://github.com/advisories/GHSA-67mh-4wv8-2f99"
"2","1113715","GHSA-2g4f-4pwh-qvx6","ajv","8.13.0","moderate",">=8.18.0","production","transitive","","migration-or-operational-cli-only","Database migration and CLI command validation","low","no-compatible-patch-in-parent-range","AJV 8.18.0 is outside the parent's ~8.13.0 range.","high","apps__backend>@medusajs/cli>@medusajs/deps>@mikro-orm/migrations>umzug>@rushstack/ts-command-line>@rushstack/terminal>@rushstack/node-core-library>ajv","https://github.com/advisories/GHSA-2g4f-4pwh-qvx6"
"3","1116229","GHSA-4w7w-66w2-5vf9","vite","5.4.21","moderate",">=6.4.2","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Vite 6.4.x is outside Medusa 2.18's ^5.4.21 peer range.","high","apps__backend>@medusajs/framework>vite","https://github.com/advisories/GHSA-4w7w-66w2-5vf9"
"4","1117015","GHSA-qx2v-qp2m-jg93","postcss","8.4.31","moderate",">=8.5.10","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Next 15.5.21 pins PostCSS exactly to 8.4.31.","high","apps__storefront>next>postcss","https://github.com/advisories/GHSA-qx2v-qp2m-jg93"
"5","1119441","GHSA-w5hq-g745-h8pq","uuid","9.0.1","moderate",">=11.1.1","production","transitive","","conditionally-runtime-reachable","Redis event bus job identifiers","low","no-compatible-patch-in-parent-range","UUID 11 is outside BullMQ 5.13.0's ^9.0.0 range.","high","apps__backend>@medusajs/medusa>@medusajs/event-bus-redis>bullmq>uuid","https://github.com/advisories/GHSA-w5hq-g745-h8pq"
"6","1119502","GHSA-q8mj-m7cp-5q26","qs","6.14.2","moderate",">=6.15.2","production","transitive","","conditionally-runtime-reachable","Medusa HTTP query-string parsing","medium","no-compatible-patch-in-parent-range","QS 6.15.2 is outside Express 4.22.1's ~6.14.0 range.","high","apps__backend>@medusajs/cli>express>qs","https://github.com/advisories/GHSA-q8mj-m7cp-5q26"
"7","1120784","GHSA-v6wh-96g9-6wx3","vite","5.4.21","moderate",">=6.4.3","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Vite 6.4.x is outside Medusa 2.18's ^5.4.21 peer range.","high","apps__backend>@medusajs/framework>vite","https://github.com/advisories/GHSA-v6wh-96g9-6wx3"
"8","1123525","GHSA-fx2h-pf6j-xcff","vite","5.4.21","high",">=6.4.3","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Vite 6.4.x is outside Medusa 2.18's ^5.4.21 peer range.","high","apps__backend>@medusajs/framework>vite","https://github.com/advisories/GHSA-fx2h-pf6j-xcff"
"9","1124008","GHSA-v56q-mh7h-f735","immutable","3.8.3","high",">=4.3.9","production","transitive","","build-or-development-only","GraphQL/Relay code generation","low","no-compatible-patch-in-parent-range","The remaining fix requires Immutable 4 while relay-compiler pins ~3.7.6.","high","apps__backend>@medusajs/cli>@medusajs/utils>@graphql-codegen/typescript>@graphql-codegen/visitor-plugin-common>@graphql-tools/relay-operation-optimizer>@ardatan/relay-compiler>immutable","https://github.com/advisories/GHSA-v56q-mh7h-f735"
"10","1124018","GHSA-xvcm-6775-5m9r","immutable","3.8.3","high",">=4.3.9","production","transitive","","build-or-development-only","GraphQL/Relay code generation","low","no-compatible-patch-in-parent-range","The remaining fix requires Immutable 4 while relay-compiler pins ~3.7.6.","high","apps__backend>@medusajs/cli>@medusajs/utils>@graphql-codegen/typescript>@graphql-codegen/visitor-plugin-common>@graphql-tools/relay-operation-optimizer>@ardatan/relay-compiler>immutable","https://github.com/advisories/GHSA-xvcm-6775-5m9r"
"11","1124066","GHSA-f88m-g3jw-g9cj","sharp","0.34.5","high",">=0.35.0","production","transitive","","not-reachable-with-current-configuration","Next.js optional image optimizer dependency","low","no-compatible-patch-in-parent-range","Sharp 0.35 is outside Next 15.5.21's ^0.34.3 range.","high","apps__storefront>next>sharp","https://github.com/advisories/GHSA-f88m-g3jw-g9cj"
"12","1124252","GHSA-6g55-p6wh-862q","postcss","8.4.31","high",">=8.5.12","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Next 15.5.21 pins PostCSS exactly to 8.4.31.","high","apps__storefront>next>postcss","https://github.com/advisories/GHSA-6g55-p6wh-862q"
"13","1124268","GHSA-wrjc-x8rr-h8h6","react-router","6.30.4","moderate",">=7.18.0","production","transitive","","admin-runtime-conditional","Authenticated Medusa Admin browser application","medium","no-compatible-patch-in-parent-range","The fix requires React Router 7 while Medusa Admin is on 6.30.4.","high","apps__backend>react-router-dom>react-router","https://github.com/advisories/GHSA-wrjc-x8rr-h8h6"
"14","1124270","GHSA-jjmj-jmhj-qwj2","react-router-dom","6.30.4","moderate","<0.0.0","production","direct","dependencies:6.30.4","admin-runtime-conditional","Authenticated Medusa Admin browser application","medium","no-compatible-patch-in-parent-range","The advisory has no patched 6.x release; Medusa Admin is on 6.30.4.","high","apps__backend>react-router-dom","https://github.com/advisories/GHSA-jjmj-jmhj-qwj2"
"15","1124272","GHSA-337j-9hxr-rhxg","react-router","6.30.4","moderate",">=7.18.0","production","transitive","","admin-runtime-conditional","Authenticated Medusa Admin browser application","medium","no-compatible-patch-in-parent-range","The fix requires React Router 7 while Medusa Admin is on 6.30.4.","high","apps__backend>react-router-dom>react-router","https://github.com/advisories/GHSA-337j-9hxr-rhxg"
"16","1124288","GHSA-r28c-9q8g-f849","postcss","8.4.31","high",">=8.5.18","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Next 15.5.21 pins PostCSS exactly to 8.4.31.","high","apps__storefront>next>postcss","https://github.com/advisories/GHSA-r28c-9q8g-f849"
